City,IATA Code,Lowest Price
Bangkok,BKK,835
Paris,PAR,409
London,LON,414
Dubai,DXB,565
Singapore,SIN,824
Kuala Lumpur,KUL,899
New York City,NYC,296
Istanbul,IST,470
Tokyo,TYO,756
Seoul,SEL,919
